course_type,course_title,course_rating,course_link,course_skill,course_job
Course,Thoracic Oncology,4.9,https://www.coursera.org/learn/thoracic-oncology,[],"['Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers', 'Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers']"
Course,Semiconductor Physics,4.5,https://www.coursera.org/learn/semiconductor-physics,[],"['Scientists', 'Research Assistants', 'Engineers', 'Researchers', 'Technical Solutions Engineers']"
Course,Motion Planning for Self-Driving Cars,4.8,https://www.coursera.org/learn/motion-planning-self-driving-cars,[],"['Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers', 'Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers']"
Course,Advanced Financial Reporting: Accounting for Business Combinations and Preparation of Consolidated Financial Statements,5,https://www.coursera.org/learn/advanced-financial-reporting,[],"['Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers', 'Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers']"
Course,Advanced Data Science Capstone,4.6,https://www.coursera.org/learn/advanced-data-science-capstone,[],"['Data Scientists', 'Machine Learning Engineers', 'Data Engineers', 'Scientists', 'Data Analysts']"
Course,Production Machine Learning Systems,4.6,https://www.coursera.org/learn/gcp-production-ml-systems,[],"['Data Scientists', 'Machine Learning Engineers', 'Chief Technology Officers (CTOs)', 'Data Engineers', 'Technical Solutions Engineers', 'Data Scientists', 'Machine Learning Engineers', 'Chief Technology Officers (CTOs)', 'Data Engineers', 'Technical Solutions Engineers']"
Course,Foundations of International Psychiatry,4.4,https://www.coursera.org/learn/international-psychiatry,[],"['Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers', 'Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers']"
Course,Probabilistic Graphical Models 2: Inference,4.6,https://www.coursera.org/learn/probabilistic-graphical-models-2-inference,"['Inference', 'Gibbs Sampling', 'Markov Chain Monte Carlo (MCMC)', 'Belief Propagation']","['Machine Learning Engineers', 'Data Scientists', 'Research Assistants', 'Researchers', 'Data Analysts']"
Course,The Teacher's Social and Emotional Learning,4.6,https://www.coursera.org/learn/teachers-social-emotional-learning,[],"['Teachers', 'Principals', 'Therapists', 'Professors', 'Founders']"
Course,Practical Reinforcement Learning,4.1,https://www.coursera.org/learn/practical-rl,[],"['Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers', 'Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers']"
Course,Probabilistic Graphical Models 3: Learning,4.6,https://www.coursera.org/learn/probabilistic-graphical-models-3-learning,"['Algorithms', 'Expectation–Maximization (EM) Algorithm', 'Graphical Model', 'Markov Random Field']","['Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers', 'Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers']"
Course,Recommendation Systems with TensorFlow on GCP,4.5,https://www.coursera.org/learn/recommendation-models-gcp,[],"['Data Scientists', 'Machine Learning Engineers', 'Chief Technology Officers (CTOs)', 'Data Engineers', 'Technical Solutions Engineers']"
Course,"Big Data Analysis: Hive, Spark SQL, DataFrames and GraphFrames",4,https://www.coursera.org/learn/big-data-analysis,"['Graphs', 'Hive', 'Apache Hive', 'Apache Spark']","['Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers', 'Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers']"
Course,"Excel/VBA for Creative Problem Solving, Part 3 (Projects)",4.8,https://www.coursera.org/learn/excel-vba-for-creative-problem-solving-part-3-projects,[],"['Financial Advisors', 'Financial Analysts', 'Economists', 'Technical Solutions Engineers', 'Engineers']"
